description,category
steam games payment,Entertainment
costa coffee payment,Food
bakery items payment,Food
ibuprofen medicine payment,Healthcare
anniversary gift payment,Others
meal subscription payment,Food
pet care,Others
resort stay,Entertainment
swiggy instamart,Food
amazon gift,Shopping
expense claim payment,Income
ipl ticket,Entertainment
alex cough,Healthcare
e-rickshaw payment,Transport
lakme product,Shopping
reward points redeemed,Income
shoe mart,Shopping
pan card fees,Others
chiropractor payment,Healthcare
bike repair payment,Transport
savings interest,Income
mini bus,Transport
bakery items,Food
netmeds order,Healthcare
bijli bill,Bills
other expenses,Others
driving license payment,Others
urine test,Healthcare
razor blades,Shopping
drug store purchase,Healthcare
mosque donation,Others
lounge entry payment,Entertainment
paneer purchase,Food
ibuprofen medicine,Healthcare
smartwatch,Shopping
visa application,Others
jal board payment,Bills
antiseptic cream payment,Healthcare
smoothie bar,Food
xbox gamepass payment,Entertainment
contract payment,Income
annual health package,Healthcare
bread eggs payment,Food
apartment rent payment,Bills
cookware purchase payment,Shopping
breakfast cafe payment,Food
woodland shoes payment,Shopping
mumbai local payment,Transport
shatabdi ticket payment,Transport
ngo contribution,Others
aspirin tablet,Healthcare
more supermarket,Food
bonus received payment,Income
brunch restaurant,Food
nykaa fashion payment,Shopping
radio taxi,Transport
pet food payment,Others
license renewal payment,Others
pubg uc purchase payment,Entertainment
yulu bike,Transport
referral bonus payment,Income
shirt purchase,Shopping
office lunch payment,Food
bijli bill payment,Bills
zomato order payment,Food
cup noodles,Food
jio recharge,Bills
veterinary medicine,Others
airpods payment,Shopping
phonepe cashback,Income
allowance credited payment,Income
iron supplement payment,Healthcare
international flight,Entertainment
investment returns,Income
gas bill payment,Bills
parking challan,Others
investment returns payment,Income
stipend received payment,Income
ixigo ticket payment,Transport
adani electricity,Bills
postpaid bill payment,Bills
affiliate income,Income
ikea purchase,Shopping
health insurance payment,Healthcare
hdfc ergo health,Healthcare
rd maturity,Income
holi expenses,Others
tenant payment,Income
court fees payment,Others
property tax payment,Bills
bescom bill payment,Bills
gift card,Shopping
sugar test,Healthcare
broadband payment payment,Bills
covid test payment,Healthcare
holiday booking payment,Entertainment
cashback credited,Income
musical instrument payment,Entertainment
root canal,Healthcare
sports match ticket payment,Entertainment
skin doctor,Healthcare
football purchase,Entertainment
house rent,Bills
courier service,Others
medical store,Healthcare
fried rice order payment,Food
tanishq jewellery,Shopping
cbc test payment,Healthcare
refund received,Income
jiocinema premium,Bills
saree purchase payment,Shopping
nykaa beauty payment,Shopping
imax experience,Entertainment
meal subscription,Food
drivezy rental,Transport
property tax,Bills
adidas footwear,Shopping
crocin medicine payment,Healthcare
housing loan emi,Bills
late fee,Others
mutual fund dividend payment,Income
pvr cinemas,Entertainment
power bill,Bills
whey protein,Healthcare
ipad buy,Shopping
prime video subscription payment,Bills
wifi recharge payment,Bills
dimsum,Food
road tax,Bills
disprin tablet,Healthcare
emergency room,Healthcare
tennis match payment,Entertainment
drama performance,Entertainment
razor blades payment,Shopping
credit card bill payment,Bills
dinner party,Food
vegetables market,Food
comedy show payment,Entertainment
cafe coffee day,Food
flipkart voucher payment,Shopping
ola bike,Transport
car rental,Transport
ac coach ticket,Transport
zyrtec antihistamine,Healthcare
zoomcar rental payment,Transport
gold gym,Healthcare
party expenses,Entertainment
trekking trip,Entertainment
tata power payment,Bills
pubg uc purchase,Entertainment
dental checkup,Healthcare
south indian meal,Food
blinkit order,Food
painting supplies,Entertainment
football game,Entertainment
physician visit,Healthcare
car rental payment,Transport
smoothie bar payment,Food
nobroker rent payment,Bills
canteen food,Food
car insurance payment,Bills
wonderla ticket,Entertainment
metro shoes,Shopping
cng refill payment,Transport
netflix monthly payment,Bills
duronto express payment,Transport
flipkart voucher,Shopping
gpay reward payment,Income
ors packet payment,Healthcare
bank charges payment,Others
meesho order payment,Shopping
mumbai metro payment,Transport
amazon books payment,Shopping
dinner party payment,Food
gulab jamun payment,Food
disney plus hotstar payment,Bills
aspirin tablet payment,Healthcare
vodafone recharge,Bills
goa trip payment,Entertainment
xray scan payment,Healthcare
tanishq jewellery payment,Shopping
kalyan jewellers payment,Shopping
weekend trip,Entertainment
tiffin service payment,Food
five guys burger,Food
car loan payment,Bills
max hospital,Healthcare
cleaning service,Others
laundry service,Others
chinese food payment,Food
visa application payment,Others
lakme product payment,Shopping
xray scan,Healthcare
aadhar update payment,Others
education loan,Bills
indrive ride payment,Transport
dunzo grocery payment,Food
cleartrip booking payment,Transport
crossfit gym,Healthcare
bounce scooter payment,Transport
game reward payment,Income
baskin robbins,Food
h&m clothes,Shopping
mcdonalds burger,Food
tata power,Bills
free fire diamonds,Entertainment
myntra clothes payment,Shopping
cashback credited payment,Income
cbc test,Healthcare
diwali shopping payment,Others
jio fiber,Bills
fitness band payment,Shopping
chips snacks payment,Food
pepperfry furniture payment,Shopping
jio recharge payment,Bills
aiims visit,Healthcare
bungee jumping,Entertainment
pharmeasy delivery,Healthcare
jeans buy,Shopping
voot select payment,Bills
e-rickshaw,Transport
mcdonalds burger payment,Food
legal fees payment,Others
glucose powder payment,Healthcare
guitar purchase,Entertainment
local train pass,Transport
smartwatch payment,Shopping
freelance payment payment,Income
yulu bike payment,Transport
road tax payment,Bills
car service payment,Transport
loan emi payment,Bills
penalty payment,Others
lulu hypermarket,Food
adidas footwear payment,Shopping
resort stay payment,Entertainment
washmart,Others
ramen restaurant payment,Food
shell fuel,Transport
stock dividend,Income
betadine,Healthcare
reliance fresh payment,Food
music festival,Entertainment
laser tag payment,Entertainment
manali vacation,Entertainment
lottery prize,Income
ethnic wear,Shopping
hill station trip,Entertainment
